used model ,vehicle stock ,share on total vehicles ,average vehicle weight ,battery weight ,vehicle weight w/o battery,mileage ,energy supply,consumption manufacturer,consumption manufacturer.1,real consumption,consumption AdBlue ,co2e production best case,co2e production per kg ,co2e production worst case,co2e battery production best case ,co2e battery production ,co2e battery production worst case,co2e electric engine best case ,co2e electric engine ,co2e electric engine worst case,co2e drivechain ,co2e gasoline TtW,co2e gasoline WtW,co2e diesel TtW,co2e diesel WtW,co2e hvo TtW,co2e hvo WtW,co2e ptl TtW,co2e ptl WtW,co2 bioliq TtW,co2 bioliq WtW,co2e electricity ,range wltp ,range wltp city ,battery capacity brutto ,battery capacity netto ,power cumbustion engine,power electric engine,power electric engine 2,weight electric engine ,weight electric drivechain ,co2e savings battery ,emission targets germany 
VW ID.3,138.244 ,,1815.0,364.0,1451.0,,battery,,15.2,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,429.0,587.0,62.0,58.0,,150.0,,50.0,27.0,,
Model 3,87.845 ,,1825.0,,,,battery,,14.4,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,491.0,,,62.0,,208.0,,50.0,27.0,,
i4,3.194 ,,2125.0,550.0,1575.0,,battery,,16.3,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,584.0,,83.9,81.1,,250.0,,50.0,27.0,,
Taycan ,24.071 ,,2125.0,,,,battery,,20.3,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,432.0,451.0,79.2,71.0,,300.0,,50.0,27.0,,
Model Y,281.894 ,,1984.0,,,,battery,,15.7,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,455.0,,,62.0,,220.0,,50.0,27.0,,
Q8,33.650 ,,2585.0,,,,battery,,20.3,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,488.0,,95.0,89.0,,,,50.0,27.0,,
,35 ,,,,,,battery,,,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,,,,,,,,50.0,27.0,,
Kia e-Soul,6.382 ,,1610.0,315.0,1295.0,,battery,,15.6,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,276.0,407.0,42.0,39.2,,100.0,,50.0,27.0,,
,3.443 ,,,,,,battery,,,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,,,,,,,,50.0,27.0,,
e-Sprinter ,9.905 ,,2455.0,,,,battery,,33.9,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,120.0,,41.0,35.0,,85.0,,50.0,27.0,,
,63 ,,,,,,battery,,,,,,6.2,,,82.5,,,4.5,,42.0,,,,,,,,,,,,,,,,,,,50.0,27.0,,
,,,12800.0,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14700.0,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11300.0,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,350.0,,,270.0,,
,,,11300.0,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,350.0,,,270.0,,
,,,13200.0,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,450.0,,,350.0,,
,,,13200.0,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,450.0,,,350.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
