unit;;;01.01.2023;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kg];[kg co2e/kg];;;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;Buberger;agora ;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora;agora*0,68;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_2025;emission_target_de_2035;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;;
ICEV;off-road;Tiguan;563700,8238;0,218780653;2576557;1677;1602;0;1602;41,085;1560,915;12500;diesel;6,6;0;7;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;2046;1153331886
ICEV;sportcar;911;172532,5613;0,029041031;5940993;1683;1608;0;1608;43,2;1564,8;12500;gasoline;8,4;0;9,5;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;90440000000;27200000000;5,78E+10;2,04E+10;0;49000000000;2200000000;0;2385,138;411513968,2
ICEV;minivan;B-Klasse;339684,2128;0,057176336;5940993;1651;1576;0;1576;33,75;1542,25;12500;gasoline;5,6;0;5,8;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;1590,092;540129149,3
ICEV;large van ;Touran;437869,1556;0,169943516;2576557;1847;1772;0;1772;39,15;1732,85;12500;diesel;4,5;0;7,1;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;1395;610827472,1
ICEV;Utilities;Transporter;179927,0385;0,069832353;2576557;2062;1987;0;1987;54;1933;12500;diesel;7;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;2170;390441673,5
ICEV;caravan;FiatDucato;242553,7635;0,094138714;2576557;2966;2891;0;2891;50,625;2840,375;12500;diesel;7,5;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;2325;563937500,2
HEV;mini;fiat500;31512,63404;0,029756776;1059007;1177;1102;6;1096;23,625;1072,375;12500;gasoline;5,3;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1504,9085;47423630,83
HEV;smallcar;kia rio;170933,4977;0,161409224;1059007;1278;1203;6;1197;27;1170;12500;gasoline;5,4;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1533,303;262092844,9
HEV;compact car;Golf ;183792,4904;0,173551724;1059007;1528;1453;6;1447;37,125;1409,875;12500;gasoline;5,2;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1476,514;271372185,1
HEV;mid-range vehicle; C-Klasse;170562,5999;0,161058992;1059007;1758;1683;6;1677;27;1650;12500;gasoline;6,3;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1788,8535;305111503,8
HEV;upper mid range vehicle ;fiat500;43360,10476;0,102398917;423443;1972;1897;6;1891;43,875;1847,125;12500;diesel;7,4;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;2294;99468080,31
HEV;top range vehicle ;kia rio;16878,37306;0,015937924;1059007;2238;2163;6;2157;48,6;2108,4;12500;gasoline;9,5;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;2697,4775;45529031,56
HEV;SUV;Golf ;217454,8916;0,205338484;1059007;1698;1623;6;1617;34,425;1582,575;12500;gasoline;6,1;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1732,0645;376645898
HEV;off-road; C-Klasse;54795,28742;0,129404164;423443;2005;1930;6;1924;39,15;1884,85;12500;diesel;7,1;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;2201;120604427,6
HEV;sportcar;A6;7503,659706;0,007085562;1059007;1683;1608;6;1602;43,2;1558,8;12500;gasoline;8,4;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;2385,138;17897263,9
HEV;minivan;A8 ;288,2552972;0,000680742;423443;1651;1576;6;1570;33,75;1536,25;12500;diesel;5,6;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;1736;500411,1959
HEV;large van ;x1;7941,535232;0,007499039;1059007;1847;1772;6;1766;39,15;1726,85;12500;gasoline;4,5;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1277,7525;10147316,5
HEV;Utilities;nissan x-trail;2475,943102;0,00584717;423443;2062;1987;6;1981;54;1927;12500;diesel;7;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;2170;5372796,531
HEV;caravan;mercedes sl;13,24649717;3,12828E-05;423443;2966;2891;6;2885;50,625;2834,375;12500;diesel;7,5;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;49000000000;2200000000;0;2325;30798,10593
PHEV;mini;B-Klasse;0;0;4000000;0;0;0;0;0;0;12500;hybrid;0;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
PHEV;smallcar;peugeot 5008;66635,75883;0,01665894;4000000;1624;1549;130;1419;23,625;1395,375;12500;hybrid;1,1;14,4;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;13;85;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;312,3395;20812979,59
PHEV;compact car;ford transit ;819643,4781;0,20491087;4000000;1635;1560;130;1430;27;1403;12500;hybrid;1,1;14,4;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;12,8;85;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;312,3395;256007034,1
PHEV;mid-range vehicle;land rover defender ;627631,6094;0,156907902;4000000;1759;1684;130;1554;33,75;1520,25;12500;hybrid;1,3;16,3;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;13;85;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;369,1285;231676714,5
PHEV;upper mid range vehicle ;E300e9G-Tronics;297841,86;0,074460465;4000000;1985;1910;135;1775;33,75;1741,25;12500;hybrid;1,5;17;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;13,5;90;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;425,9175;126856060,4
PHEV;top range vehicle ;Porschepanamera;44562,9245;0,011140731;4000000;2285;2210;179;2031;54;1977;12500;hybrid;2,3;23,6;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;17,9;100;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;653,0735;29102865,07
PHEV;SUV;Renaultcapture;1235489,928;0,308872482;4000000;1616;1541;103;1438;26,325;1411,675;12500;hybrid;1,5;17,3;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;9,8;49;25;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;425,9175;526216781,4
PHEV;off-road;volvoXC40;792804,6547;0,198201164;4000000;1812;1737;107;1630;32,4;1597,6;12500;hybrid;2,1;15,2;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;10,7;60;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;596,2845;472737127,1
PHEV;sportcar;Porschepanamera;9902,872111;0,002475718;4000000;2285;2210;179;2031;54;1977;12500;hybrid;2,3;23,6;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;17,9;100;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;653,0735;6467303,35
PHEV;minivan;Peogeot3008;85977,88544;0,021494471;4000000;1908;1833;142;1691;29,025;1661,975;12500;hybrid;1,3;15,3;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;14,2;81;83;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;369,1285;31736887,89
PHEV;large van ;not available ;9,272352164;2,31809E-06;4000000;0;0;0;0;0;0;12500;hybrid;0;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
PHEV;Utilities;VWMultivan;19476,57572;0,004869144;4000000;2257;2182;130;2052;30,375;2021,625;12500;hybrid;1,8;17,3;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;13;85;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;511,101;9954497,327
PHEV;caravan;not available ;23,18088041;5,79522E-06;4000000;0;0;0;0;0;0;12500;hybrid;0;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;mini;fiat500e;5331218,224;0,197452527;27000000;1330;1255;182;1073;0;1073;12500;battery;0;13;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;23,8;70;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;smallcar;renaultzoe;5871941,621;0,217479319;27000000;1577;1502;326;1176;0;1176;12500;battery;0;17,2;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;44,1;80;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;compact car;VWID.3;3709396,851;0,137385069;27000000;1815;1740;364;1376;0;1376;12500;battery;0;15,2;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;62;150;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;mid-range vehicle;Model3;2357078,545;0,087299205;27000000;1825;1750;310;1440;0;1440;12500;battery;0;14,4;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;62;208;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;upper mid range vehicle;i4;85702,18991;0,003174155;27000000;2125;2050;419,5;1630,5;0;1630,5;12500;battery;0;16,3;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;83,9;250;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;top range vehicle;Taycan;645878,9647;0,023921443;27000000;2125;2050;396;1654;0;1654;12500;battery;0;20,3;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;79,2;300;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;SUV;ModelY;7563848,817;0,280142549;27000000;1984;1909;475;1434;0;1434;12500;battery;0;15,7;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;62;220;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;off-road;Q8;902905,0377;0,033440927;27000000;2585;2510;475;2035;0;2035;12500;battery;0;20,3;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;95;200;200;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;sportcar;not available ;939,1285682;3,47825E-05;27000000;0;0;0;0;0;0;12500;battery;0;0;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;minivan;Kiae-Soul;171243,3863;0,006342348;27000000;1610;1535;315;1220;0;1220;12500;battery;0;15,6;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;42;100;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;large van;pro ace city toyota ;92383,41887;0,003421608;27000000;1664;1589;250;1339;0;1339;12500;battery;0;19,4;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;50;100;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
BEV;Utilities;e-Sprinter;265773,3848;0,009843459;27000000;2455;2380;205;2175;0;2175;12500;battery;0;33,9;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,028;41;85;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
