unit;;;01.01.2023;;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;;;
Quelle;;;FZ27.11,KBA;;1;1;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;agora ;agora ;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;;;Zahl mit 0,68 multipliziert;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;former_emission_targets_germany_2030;former_emission_targets_germany_2030_fleet;new_emission_targets_germany_2030;new_emission_targets_germany_2030_fleet;reference_path_emission_target_2030;reference_path_emission_target_2030;co2e_2025;co2e_2030;co2e_2035;co2e_2040;co2e_2045;co2e_2050
icev;Gel‰ndewagen;Tiguan;2625367,84;0,056280301;0,21318558;0,218780653;12000000;2005;1930;0;1930;39,15;1890,85;13739;diesel;6,6;0;7;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
icev;Sportwagen;911;696984,7417;0,019485165;0,021561205;0,029041031;24000000;1683;1608;0;1608;43,2;1564,8;13739;gasoline;8,4;0;9,5;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
icev;MiniVan;B-Klasse;1372232,067;0,038362631;0,042449964;0,057176336;24000000;1651;1576;0;1576;33,75;1542,25;13739;gasoline;5,6;0;5,8;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
icev;GroﬂraumVans;Touran;2039322,191;0,043717175;0,165597398;0,169943516;12000000;1847;1772;0;1772;39,15;1732,85;13739;diesel;4,5;0;7,1;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
icev;Utilities;Transporter;837988,2385;0,017964046;0,068046468;0,069832353;12000000;2062;1987;0;1987;54;1933;13739;diesel;7;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
icev;Wohnwagen;FiatDucato;1129664,573;0,024216744;0,091731221;0,094138714;12000000;2966;2891;0;2891;50,625;2840,375;13739;diesel;7,5;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;Mini;fiat500;32486,17802;0,00094079;0,001004959;0,001353591;1470455;1177;1102;6;1096;23,625;1072,375;13739;gasoline;5,3;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;Kleinwagen;kia rio;176214,2774;0,005103113;0,005451184;0,007342262;1470455;1278;1203;6;1197;27;1170;13739;gasoline;5,4;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;Kompaktklasse;Golf ;189470,5328;0,00548701;0,005861266;0,007894606;1470455;1528;1453;6;1447;37,125;1409,875;13739;gasoline;5,2;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;Mittelklasse; C-Klasse;175831,9211;0,00509204;0,005439356;0,00732633;1470455;1758;1683;6;1677;27;1650;13739;gasoline;6,3;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;obereMittelklasse;;146722,262;0,003237444;0,011914167;0,012226855;1470455;1972;1897;6;1891;43,875;1847,125;13739;diesel;7,4;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;Oberklasse;;17399,80958;0,000503893;0,000538263;0,000724992;1470455;2238;2163;6;2157;48,6;2108,4;13739;gasoline;9,5;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;SUV;hyundai kona ;224172,8924;0,00649198;0,006934783;0,009340537;1470455;1698;1623;6;1617;34,425;1582,575;13739;gasoline;6,1;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;Gel‰ndewagen;nissan x-trail;185416,7227;0,004091241;0,015056241;0,015451394;1470455;2005;1930;6;1924;39,15;1884,85;13739;diesel;7,1;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;Sportwagen;;7735,476022;0,000224017;0,000239297;0,000322312;1470455;1683;1608;6;1602;43,2;1558,8;13739;gasoline;8,4;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;MiniVan;;975,4005318;0,0000215;7,92046E-05;8,12834E-05;1470455;1651;1576;6;1570;33,75;1536,25;13739;diesel;5,6;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;GroﬂraumVans;;8186,879172;0,00023709;0,000253261;0,00034112;1470455;1847;1772;6;1766;39,15;1726,85;13739;gasoline;4,5;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;Utilities;;8378,115656;0,000184864;0,000680321;0,000698176;1470455;2062;1987;6;1981;54;1927;13739;diesel;7;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
hev;Wohnwagen;;44,82360086;0,000000989;3,63977E-06;3,7353E-06;1470455;2966;2891;6;2885;50,625;2834,375;13739;diesel;7,5;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;Mini;not available ;0;0;0;;5000000;0;0;0;0;0;0;13739;hybrid;0;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;Kleinwagen;Golf;83294,69853;0,000309031;0,096542222;0,01665894;5000000;1624;1549;130;1419;23,625;1395,375;13739;hybrid;1,1;14,4;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;64;0;13;85;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;Kompaktklasse;A3;1024554,348;0,003801195;1,18750359;0,20491087;5000000;1635;1560;130;1430;27;1403;13739;hybrid;1,1;14,4;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;66;73;12,8;85;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;Mittelklasse;VWPassat;784539,5118;0,002910717;0,90931583;0,156907902;5000000;1759;1684;130;1554;33,75;1520,25;13739;hybrid;1,3;16,3;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;13;85;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;obereMittelklasse;E300e9G-Tronics;372302,325;0,001381277;0,431514784;0,074460465;5000000;1985;1910;135;1775;33,75;1741,25;13739;hybrid;1,5;17;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;51;0;13,5;90;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;Oberklasse;Porschepanamera;55703,65562;0,000206666;0,064562989;0,011140731;5000000;2285;2210;179;2031;54;1977;13739;hybrid;2,3;23,6;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;54;0;17,9;100;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;SUV;Renaultcapture;1544362,41;0,005729733;1,789984017;0,308872482;5000000;1616;1541;103;1438;26,325;1411,675;13739;hybrid;1,5;17,3;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;54;65;9,8;49;25;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;Gel‰ndewagen;volvoXC40;991005,8184;0,003676727;1,148619368;0,198201164;5000000;1812;1737;107;1630;32,4;1597,6;13739;hybrid;2,1;15,2;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;45;55;10,7;60;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;Sportwagen;Porschepanamera;1,24E+04;4,59E-05;0,014347331;2,48E-03;5000000;2285;2210;179;2031;54;1977;13739;hybrid;2,3;23,6;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;54;0;17,9;100;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;MiniVan;Peogeot3008;107472,3568;0,000398733;0,124565193;0,021494471;5000000;1908;1833;142;1691;29,025;1661,975;13739;hybrid;1,3;15,3;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;63;74;14,2;81;83;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;GroﬂraumVans;not available ;1,16E+01;4,30E-08;1,34338E-05;2,32E-06;5000000;0;0;0;0;0;0;13739;hybrid;0;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
