vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;average_vehicle_weight;battery_weight;vehicleweight_w/o_battery;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;consumption_AdBlue;co2e_production_bestcase;co2e_production;co2e_production_worstcase;co2e_battery_production_bestcase;co2e_battery_production;co2e_battery_production_worstcase;co2e_electric_engine_bestcase;co2eelectricengine;co2eelectricengineworstcase;co2edrivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;co2e_hvo_TtW;co2e_hvo_WtW;co2e_ptl_TtW;co2e_ptl_WtW;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity;rangewltp;rangewltpcity;batterycapacitybrutto;batterycapacitynetto;powercumbustionengine;powerelectricengine;powerelectricengine2;weightelectricengine;weightelectricdrivechain;co2esavingsbattery;emissiontargetsgermany
hev;SUV;X1;301941;;1698;;;13739;gasoline;5,1;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
hev;Gel‰ndewagen;Tiguan;190283;;2005;;;13739;diesel;6,6;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
hev;Sportwagen;911;10419;;1683;;;13739;gasoline;8,4;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
hev;MiniVan;B-Klasse;1001;;1651;;;13739;gasoline;5,6;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
hev;GroﬂraumVans;Touran;11027;;1847;;;13739;diesel;4,5;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
hev;Utilities;Transporter;8598;;2062;;;13739;diesel;7;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
hev;Wohnwagen;FiatDucato;46;;2966;;;13739;diesel;7,5;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
phev;Mini;;-;;0;;;13739;0;0;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
phev;Kleinwagen;Golf;14373;;1624;130;;13739;super;1,1;14,4;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;64;;13;10,4;110;85;;;;;
phev;Kompaktklasse;A3;176793;;1635;130;;13739;super;1,1;14,4;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;66;73;12,8;10,4;110;85;;;;;
phev;Mittelklasse;VWPassat;135377;;1759;;;13739;super;1,3;16,3;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;13;;115;85;;;;;
