unit;;;01.01.2023;;;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];;;;;;;;;
Quelle;;;FZ27.11,KBA;;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;;;;;;;;;
description;;;;;;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;copy_share_on_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;new_emission_targets_germany_2030;co2e_2025;emission_target_2030;co2e_2035;co2e_2040;emission_target_2045;co2e_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45
hev;obereMittelklasse;;150573,00;0,003354032;0,102398917;0,102398917;1470455,00;0,002754845;1972;1897;6;1891;43,875;1847,125;13739;diesel;7,4;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Oberklasse;;23436,00;0,00052204;0,015937924;0,015937924;1470455,00;0,000428779;2238;2163;6;2157;48,6;2108,4;13739;gasoline;9,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;SUV;hyundai kona ;301941,00;0,006725773;0,205338484;0,205338484;1470455,00;0,005524236;1698;1623;6;1617;34,425;1582,575;13739;gasoline;6,1;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Gel‰ndewagen;nissan x-trail;190283,00;0,004238578;0,129404164;0,129404164;1470455,00;0,00348137;2005;1930;6;1924;39,15;1884,85;13739;diesel;7,1;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Sportwagen;;10419,00;0,000232085;0,007085562;0,007085562;1470455,00;0,000190623;1683;1608;6;1602;43,2;1558,8;13739;gasoline;8,4;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;MiniVan;;1001,00;2,22974E-05;0,000680742;0,000680742;1470455,00;1,8314E-05;1651;1576;6;1570;33,75;1536,25;13739;diesel;5,6;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;GroﬂraumVans;;11027,00;0,000245628;0,007499039;0,007499039;1470455,00;0,000201747;1847;1772;6;1766;39,15;1726,85;13739;gasoline;4,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Utilities;;8598,00;0,000191522;0,00584717;0,00584717;1470455,00;0,000157307;2062;1987;6;1981;54;1927;13739;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Wohnwagen;;46,00;1,02466E-06;3,12828E-05;3,12828E-05;1470455,00;8,41604E-07;2966;2891;6;2885;50,625;2834,375;13739;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;Mini;not available ;0,00;0;0;0;1350000,00;0;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0;0;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
