unit;;;01.01.2023;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;REDII;;REDII;REDII;;REDII;REDII;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;agora ;;;;;;;;;
description;;;;; ;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora*0,68;agora*0,68;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;shareontotalvehicles;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_2025;emission_target_2035;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;;
icev;Gel‰ndewagen;Tiguan;0;0,056280301;0,218780653;0;1677;1602;0;1602;41,085;1560,915;12500;diesel;6,6;0;7;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1874,037;0
icev;Sportwagen;911;29041,0309;0,019485165;0,029041031;1000000;1683;1608;0;1608;43,2;1564,8;12500;gasoline;8,4;0;9,5;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;2385,138;69266866,37
icev;MiniVan;B-Klasse;57176,33614;0,038362631;0,057176336;1000000;1651;1576;0;1576;33,75;1542,25;12500;gasoline;5,6;0;5,8;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1590,092;90915634,69
icev;GroﬂraumVans;Touran;0;0,043717175;0,169943516;0;1847;1772;0;1772;39,15;1732,85;12500;diesel;4,5;0;7,1;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1277,7525;0
icev;Utilities;Transporter;0;0,017964046;0,069832353;0;2062;1987;0;1987;54;1933;12500;diesel;7;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1987,615;0
icev;Wohnwagen;FiatDucato;0;0,024216744;0,094138714;0;2966;2891;0;2891;50,625;2840,375;12500;diesel;7,5;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;2129,5875;0
hev;Mini;fiat500;0;0,00094079;0,029756776;0;1177;1102;6;1096;23,625;1072,375;12500;gasoline;5,3;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1504,9085;0
hev;Kleinwagen;kia rio;0;0,005103113;0,161409224;0;1278;1203;6;1197;27;1170;12500;gasoline;5,4;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1533,303;0
hev;Kompaktklasse;Golf ;0;0,00548701;0,173551724;0;1528;1453;6;1447;37,125;1409,875;12500;gasoline;5,2;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1476,514;0
hev;Mittelklasse; C-Klasse;0;0,00509204;0,161058992;0;1758;1683;6;1677;27;1650;12500;gasoline;6,3;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1788,8535;0
