unit;;;01.01.2023;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;REDII;;REDII;REDII;;REDII;REDII;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;agora ;;;;;;;;;
description;;;;; ;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora*0,68;agora*0,68;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;shareontotalvehicles;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_2025;emission_target_2035;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;;
phev;Utilities;VWMultivan;9738,28786;9,03E-05;0,004869144;2000000;2257;2182;130;2052;30,375;2021,625;12500;hybrid;1,8;17,3;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;13;85;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;511,101;4977248,664
phev;Wohnwagen;not available ;11,5904402;1,08E-07;5,79522E-06;2000000;0;0;0;0;0;0;12500;hybrid;0;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;Mini;fiat500e;6713385,911;0,004271934;0,197452527;34000000;1330;1255;182;1073;0;1073;12500;battery;0;13;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;23,8;70;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;Kleinwagen;renaultzoe;7394296,856;0,004705219;0,217479319;34000000;1577;1502;326;1176;0;1176;12500;battery;0;17,2;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;44,1;80;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;Kompaktklasse;VWID.3;4671092,331;0,00297236;0,137385069;34000000;1815;1740;364;1376;0;1376;12500;battery;0;15,2;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;62;150;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;Mittelklasse;Model3;2968172,983;0,00188874;0,087299205;34000000;1825;1750;310;1440;0;1440;12500;battery;0;14,4;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;62;208;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;obereMittelklasse;i4;107921,2762;6,87E-05;0,003174155;34000000;2125;2050;419,5;1630,5;0;1630,5;12500;battery;0;16,3;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;83,9;250;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;Oberklasse;Taycan;813329,0667;0,000517546;0,023921443;34000000;2125;2050;396;1654;0;1654;12500;battery;0;20,3;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;79,2;300;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;SUV;ModelY;9524846,659;0,006060953;0,280142549;34000000;1984;1909;475;1434;0;1434;12500;battery;0;15,7;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;62;220;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;Gel‰ndewagen;Q8;1136991,529;0,000723503;0,033440927;34000000;2585;2510;475;2035;0;2035;12500;battery;0;20,3;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;95;200;200;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;Sportwagen;not available ;1182,606345;7,53E-07;3,47825E-05;34000000;0;0;0;0;0;0;12500;battery;0;0;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;MiniVan;Kiae-Soul;215639,8198;0,000137218;0,006342348;34000000;1610;1535;315;1220;0;1220;12500;battery;0;15,6;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;42;100;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;GroﬂraumVans;pro ace city toyota ;116334,6756;7,40E-05;0,003421608;34000000;1664;1589;250;1339;0;1339;12500;battery;0;19,4;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;50;100;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;Utilities;e-Sprinter;334677,5957;0,000212966;0,009843459;34000000;2455;2380;205;2175;0;2175;12500;battery;0;33,9;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;41;85;0;50;27;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
bev;Wohnwagen;not available ;2128,691421;1,35E-06;6,26086E-05;34000000;0;0;0;0;0;0;12500;battery;0;0;;2,7;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
lkw;MittelschwererLkwimVerteilverkehrICEDiesel;;;;;;12800;;;;;12800;50000;lkw_diesel;25,66;254;;3,365625;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;29144,1148;0
lkw;SchwererLKWimTransitverkehrICEDiesel;;;;;;14700;;;;;14700;50000;lkw_diesel;31,9;316;;3,458639456;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;36231,382;0
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-EEONC;;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;270;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-ATONC;;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;270;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
lkw;SchwererLKWimTransitverkehrBEV-AT-OL;;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;350;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
lkw;SchwererLKWimTransitverkehrBEV-EE-OL;;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;350;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
