unit;;;01.01.2023;350501;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;REDII;;;;;;;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eigene Berechnung ;eigene Berechnung ;eigene Berechnung ;eigene Berechnung ;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2035;path_emission_2040;path_emission_2045;ttw;
PHEV;Utilities;VWMultivan;6573,34;0,004869144;1350000;2257;2182;130;2052;30,375;2021,625;12545;hybrid;1,8;17,3;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;13;85;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;308,8313046;
PHEV;caravan;not available ;7,82;5,79522E-06;1350000;0;0;0;0;0;0;12545;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;mini;fiat500e;5726123,28;0,197452527;29000000;1330;1255;182;1073;0;1073;12545;battery;0;13;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;23,8;70;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;smallcar;renaultzoe;6306900,26;0,217479319;29000000;1577;1502;326;1176;0;1176;12545;battery;0;17,2;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;44,1;80;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;compact car;VWID.3;3984166,99;0,137385069;29000000;1815;1740;364;1376;0;1376;12545;battery;0;15,2;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;62;150;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;mid-range vehicle;Model3;2531676,96;0,087299205;29000000;1825;1750;310;1440;0;1440;12545;battery;0;14,4;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;62;208;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;upper mid range vehicle;i4;92050,50;0,003174155;29000000;2125;2050;419,5;1630,5;0;1630,5;12545;battery;0;16,3;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;83,9;250;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;top range vehicle;Taycan;693721,85;0,023921443;29000000;2125;2050;396;1654;0;1654;12545;battery;0;20,3;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;79,2;300;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;SUV;ModelY;8124133,91;0,280142549;29000000;1984;1909;475;1434;0;1434;12545;battery;0;15,7;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;62;220;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;off-road;Q8;969786,89;0,033440927;29000000;2585;2510;475;2035;0;2035;12545;battery;0;20,3;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;95;200;200;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;sportcar;not available ;1008,69;3,47825E-05;29000000;0;0;0;0;0;0;12545;battery;0;0;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;minivan;Kiae-Soul;183928,08;0,006342348;29000000;1610;1535;315;1220;0;1220;12545;battery;0;15,6;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;42;100;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;large van;pro ace city toyota ;99226,64;0,003421608;29000000;1664;1589;250;1339;0;1339;12545;battery;0;19,4;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;50;100;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;Utilities;e-Sprinter;285460,30;0,009843459;29000000;2455;2380;205;2175;0;2175;12545;battery;0;33,9;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;41;85;0;50;27;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
BEV;caravan;not available ;1815,65;6,26086E-05;29000000;0;0;0;0;0;0;12545;battery;0;0;;6,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
lkw;MittelschwererLkwimVerteilverkehrICEDiesel;;;;;12800;;;;;12800;50000;lkw_diesel;25,66;254;;3,365625;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;17547,0778;
lkw;SchwererLKWimTransitverkehrICEDiesel;;;;;14700;;;;;14700;50000;lkw_diesel;31,9;316;;3,458639456;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;21814,177;
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-EEONC;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;270;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-ATONC;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;270;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
lkw;SchwererLKWimTransitverkehrBEV-AT-OL;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;350;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
lkw;SchwererLKWimTransitverkehrBEV-EE-OL;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;350;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
