unit;;;01.01.2023;350501;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;REDII;;;;;;;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eigene Berechnung ;eigene Berechnung ;eigene Berechnung ;eigene Berechnung ;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2035;path_emission_2040;path_emission_2045;ttw;
ICEV;off-road;Tiguan;977524,4296;0,218780653;4468057;2005;1930;0;1930;39,15;1890,85;12545;diesel;5,2;0;6,4;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1240,855054;
ICEV;sportcar;911;253223,0657;0,029041031;8719493;1683;1608;0;1608;43,2;1564,8;12545;gasoline;8,4;0;9,5;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1441,212755;
ICEV;minivan;B-Klasse;534887,8837;0,057176336;9355057;1651;1576;0;1576;33,75;1542,25;12545;gasoline;5,6;0;5,8;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;960,8085032;
ICEV;large van;Touran;759317,3161;0,169943516;4468057;1847;1772;0;1772;39,15;1732,85;12545;diesel;4,5;0;6;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1073,816874;
ICEV;Utilities;Transporter;312014,9346;0,069832353;4468057;2062;1987;0;1987;54;1933;12545;diesel;6,5;0;7,1;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1551,068818;
ICEV;caravan;FiatDucato;420617,1418;0,094138714;4468057;2966;2891;0;2891;50,625;2840,375;12545;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1789,69479;
HEV;mini;fiat500;43756;0,041317952;1059007;1177;1102;6;1096;23,625;1072,375;12545;gasoline;5,3;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;909,3366191;
HEV;smallcar;kia rio;237345;0,224120332;1059007;1278;1203;6;1197;27;1170;12545;gasoline;5,4;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;926,4939138;
HEV;compact car;Golf ;255200;0,240980466;1059007;1528;1453;6;1447;37,125;1409,875;12545;gasoline;5,2;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;892,1793244;
HEV;mid-range vehicle; C-Klasse;236830;0,223634027;1059007;1758;1683;6;1677;27;1650;12545;gasoline;6,3;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1080,909566;
