unit;;;01.01.2023;;;ohne Aufteilung nach Diesel und hev;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kg];[kg co2e/kg];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;;;;;;;;;;;;;
Quelle;;;FZ27.11,KBA;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;agora ;agora ;;;;;;;;;;;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;Zahl mit 0,68 multipliziert;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;former_emission_targets_germany_2030;former_emission_targets_germany_2030_fleet;new_emission_targets_germany_2030;new_emission_targets_germany_2030_fleet;emission_target_2025;emission_target_2030;emission_target_2035;emission_target_2040;emission_target_2045;emission_target_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45;;;;;;;
phev;Kleinwagen;Golf;33317,87941;0,000309031;0,038616889;0,01665894;2000000;1624;1549;130;1419;23,625;1395,375;13000;hybrid;1,1;14,4;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;64;0;13;85;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;Kompaktklasse;A3;409821,739;0,003801195;0,475001436;0,20491087;2000000;1635;1560;130;1430;27;1403;13000;hybrid;1,1;14,4;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;66;73;12,8;85;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;Mittelklasse;VWPassat;313815,8047;0,002910717;0,363726332;0,156907902;2000000;1759;1684;130;1554;33,75;1520,25;13000;hybrid;1,3;16,3;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;13;85;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;obereMittelklasse;E300e9G-Tronics;148920,93;0,001381277;0,172605913;0,074460465;2000000;1985;1910;135;1775;33,75;1741,25;13000;hybrid;1,5;17;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;51;0;13,5;90;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;Oberklasse;Porschepanamera;22281,46225;0,000206666;0,025825196;0,011140731;2000000;2285;2210;179;2031;54;1977;13000;hybrid;2,3;23,6;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;54;0;17,9;100;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;SUV;Renaultcapture;617744,964;0,005729733;0,715993607;0,308872482;2000000;1616;1541;103;1438;26,325;1411,675;13000;hybrid;1,5;17,3;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;54;65;9,8;49;25;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;Gel‰ndewagen;volvoXC40;396402,3274;0,003676727;0,459447747;0,198201164;2000000;1812;1737;107;1630;32,4;1597,6;13000;hybrid;2,1;15,2;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;45;55;10,7;60;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;Sportwagen;Porschepanamera;4,95E+03;4,59E-05;0,005738932;2,48E-03;2000000;2285;2210;179;2031;54;1977;13000;hybrid;2,3;23,6;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;54;0;17,9;100;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;MiniVan;Peogeot3008;42988,94272;0,000398733;0,049826077;0,021494471;2000000;1908;1833;142;1691;29,025;1661,975;13000;hybrid;1,3;15,3;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;63;74;14,2;81;83;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;GroﬂraumVans;not available ;4,64E+00;4,30E-08;5,37353E-06;2,32E-06;2000000;0;0;0;0;0;0;13000;hybrid;0;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;Utilities;VWMultivan;9,74E+03;9,03E-05;0,011287104;4,87E-03;2000000;2257;2182;130;2052;30,375;2021,625;13000;hybrid;1,8;17,3;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;50;0;13;85;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;Wohnwagen;not available ;1,16E+01;1,08E-07;1,34338E-05;5,80E-06;2000000;0;0;0;0;0;0;13000;hybrid;0;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;Mini;fiat500e;6713385,911;0,004271934;6,671674602;0,197452527;34000000;1330;1255;182;1073;0;1073;13000;battery;0;13;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;190;257;23,8;70;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;Kleinwagen;renaultzoe;7394296,856;0,004705219;7,348354941;0,217479319;34000000;1577;1502;326;1176;0;1176;13000;battery;0;17,2;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;316;0;44,1;80;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;Kompaktklasse;VWID.3;4671092,331;0,00297236;4,642070108;0,137385069;34000000;1815;1740;364;1376;0;1376;13000;battery;0;15,2;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;429;587;62;150;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;Mittelklasse;Model3;2968172,983;0,00188874;2,949731263;0,087299205;34000000;1825;1750;310;1440;0;1440;13000;battery;0;14,4;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;491;0;62;208;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;obereMittelklasse;i4;1,08E+05;6,87E-05;0,107250745;3,17E-03;34000000;2125;2050;419,5;1630,5;0;1630,5;13000;battery;0;16,3;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;584;0;83,9;250;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;Oberklasse;Taycan;813329,0667;0,000517546;0,808275727;0,023921443;34000000;2125;2050;396;1654;0;1654;13000;battery;0;20,3;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;432;451;79,2;300;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;SUV;ModelY;9524846,659;0,006060953;9,465667307;0,280142549;34000000;1984;1909;475;1434;0;1434;13000;battery;0;15,7;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;455;0;62;220;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;Gel‰ndewagen;Q8;1136991,529;0,000723503;1,129927224;0,033440927;34000000;2585;2510;475;2035;0;2035;13000;battery;0;20,3;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;488;0;95;200;200;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;Sportwagen;not available ;1,18E+03;7,53E-07;0,001175259;3,48E-05;34000000;0;0;0;0;0;0;13000;battery;0;0;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;MiniVan;Kiae-Soul;215639,8198;0,000137218;0,214300016;0,006342348;34000000;1610;1535;315;1220;0;1220;13000;battery;0;15,6;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;276;407;42;100;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;GroﬂraumVans;pro ace city toyota ;1,16E+05;7,40E-05;0,11561187;3,42E-03;34000000;1664;1589;250;1339;0;1339;13000;battery;0;19,4;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;284;425;50;100;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;Utilities;e-Sprinter;334677,5957;0,000212966;0,332598192;0,009843459;34000000;2455;2380;205;2175;0;2175;13000;battery;0;33,9;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;120;0;41;85;0;50;27;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
bev;Wohnwagen;not available ;2,13E+03;1,35E-06;0,002115466;6,26E-05;34000000;0;0;0;0;0;0;13000;battery;0;0;;2,7;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
lkw;MittelschwererLkwimVerteilverkehrICEDiesel;;;;;;;12800;;;;;12800;50000;lkw_diesel;25,66;254;;3,365625;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
lkw;SchwererLKWimTransitverkehrICEDiesel;;;;;;;14700;;;;;14700;50000;lkw_diesel;31,9;316;;3,458639456;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-EEONC;;;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;270;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-ATONC;;;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;270;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
lkw;SchwererLKWimTransitverkehrBEV-AT-OL;;;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;350;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
lkw;SchwererLKWimTransitverkehrBEV-EE-OL;;;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;350;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
