unit;;;01.01.2023;;;ohne Aufteilung nach Diesel und hev;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kg];[kg co2e/kg];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;;;;;;;;;;;;;
Quelle;;;FZ27.11,KBA;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;agora ;agora ;;;;;;;;;;;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;Zahl mit 0,68 multipliziert;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;former_emission_targets_germany_2030;former_emission_targets_germany_2030_fleet;new_emission_targets_germany_2030;new_emission_targets_germany_2030_fleet;emission_target_2025;emission_target_2030;emission_target_2035;emission_target_2040;emission_target_2045;emission_target_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45;;;;;;;
icev;Gel‰ndewagen;Tiguan;60633,92063;0,056280301;0,004923606;0,060633921;1000000;2005;1930;0;1930;39,15;1890,85;13000;diesel;6,6;0;7;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
icev;Sportwagen;911;20992,46017;0,019485165;0,000649401;0,02099246;1000000;1683;1608;0;1608;43,2;1564,8;13000;gasoline;8,4;0;9,5;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
icev;MiniVan;B-Klasse;44497,32086;0,038362631;0,001376523;0,044497321;1000000;1651;1576;0;1576;33,75;1542,25;13000;gasoline;5,6;0;5,8;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
icev;GroﬂraumVans;Touran;47098,96191;0,043717175;0,003824538;0,047098962;1000000;1847;1772;0;1772;39,15;1732,85;13000;diesel;4,5;0;7,1;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
icev;Utilities;Transporter;19353,67363;0,017964046;0,00157156;0,019353674;1000000;2062;1987;0;1987;54;1933;13000;diesel;7;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
icev;Wohnwagen;FiatDucato;26090,05527;0,024216744;0,002118569;0,026090055;1000000;2966;2891;0;2891;50,625;2840,375;13000;diesel;7,5;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
hev;Mini;fiat500;1353,590751;0,00094079;4,18733E-05;0,001353591;0;1177;1102;6;1096;23,625;1072,375;13000;gasoline;5,3;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;Kleinwagen;kia rio;7342,261559;0,005103113;0,000227133;0,007342262;0;1278;1203;6;1197;27;1170;13000;gasoline;5,4;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;Kompaktklasse;Golf ;7894,605531;0,00548701;0,000244219;0,007894606;0;1528;1453;6;1447;37,125;1409,875;13000;gasoline;5,2;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;Mittelklasse; C-Klasse;7326,330047;0,00509204;0,00022664;0,00732633;0;1758;1683;6;1677;27;1650;13000;gasoline;6,3;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
