unit;;;01.01.2023;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;ADAC;FZ27.11,KBA;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora;agora;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;ttw nutzung;ttw alle segmente
ICEV;sportcar;911;666230,0867;0,029041031;22940993;1683;1608;0;1608;43,2;1564,8;12545;gasoline;8,4;0;9,5;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;2393,724497;1594771279
ICEV;minivan;B-Klasse;1311681,927;0,057176336;22940993;1651;1576;0;1576;33,75;1542,25;12545;gasoline;5,6;0;5,8;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;1595,816331;2093203441
ICEV;large van;Touran;1967360,799;0,169943516;11576557;1847;1772;0;1772;39,15;1732,85;12545;diesel;4,5;0;7,1;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1400,022;2754348401
ICEV;Utilities;Transporter;808418,2173;0,069832353;11576557;2062;1987;0;1987;54;1933;12545;diesel;7;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;2177,812;1760582895
ICEV;caravan;FiatDucato;1089802,193;0,094138714;11576557;2966;2891;0;2891;50,625;2840,375;12545;diesel;7,5;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;2333,37;2542911743
HEV;mini;fiat500;344481,0131;0,029756776;1059007;1177;1102;6;1096;23,625;1072,375;12545;gasoline;5,2;0;5,3;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;1481,82945;510462110,3
HEV;smallcar;kia rio;170933,4977;0,161409224;1059007;1278;1203;6;1197;27;1170;12545;gasoline;5,4;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;1538,822891;263036379,1
HEV;compact car;Golf ;183792,4904;0,173551724;1059007;1528;1453;6;1447;37,125;1409,875;12545;gasoline;5,1;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;1453,33273;267111641,8
HEV;mid-range vehicle; C-Klasse;170562,5999;0,161058992;1059007;1758;1683;6;1677;27;1650;12545;gasoline;6,2;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;1766,796652;301349430,5
HEV;upper mid range vehicle ;A6;108441,1703;0,102398917;423443;1972;1897;6;1891;43,875;1847,125;12545;diesel;6,9;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;2146,7004;232790703,6
