unit ;;;01.01.2023;[%];[kg];[kg];[kg];[km];;[l/100km] ;[kWh/100km];[l/100km] / [kWh/100km];;[kg co2e/kg Fhz];[kg co2e/kg Fhz];[kg co2e/kg Fhz];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kW];[kg co2e/kW];[kg co2e/kW];[kg co2e/kg];;;;;;;;;;;;[km];[km];[kWh];[kWh];[kW];[kW];[kW];[kg];[kg];;
Quelle ;;;FZ 27.11, KBA;;ADAC ;;;KBA;;ADAC;ADAC;ADAC;;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;;;;;;;;;;;;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;UBA, Aut;UBA, Aut;;
description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicle class ;segments;used model ;vehicle stock ;share on total vehicles ;average vehicle weight ;battery weight ;vehicle weight w/o battery;mileage ;energy supply;consumption manufacturer;consumption manufacturer;real consumption;consumption AdBlue ;co2e production best case;co2e production per kg ;co2e production worst case;co2e battery production best case ;co2e battery production ;co2e battery production worst case;co2e electric engine best case ;co2e electric engine ;co2e electric engine worst case;co2e drivechain ;co2e gasoline TtW;co2e gasoline WtW;co2e diesel TtW;co2e diesel WtW;co2e hvo TtW;co2e hvo WtW;co2e ptl TtW;co2e ptl WtW;co2 bioliq TtW;co2 bioliq WtW;co2e electricity ;range wltp ;range wltp city ;battery capacity brutto ;battery capacity netto ;power cumbustion engine;power electric engine;power electric engine 2;weight electric engine ;weight electric drivechain ;co2e savings battery ;emission targets germany 
phev;Mittelklasse ;VW Passat; 135.377 ;;1759;;;;super ;1,3;16,3;;;;;;;;;;;;;;;;;;;;;;;;;;13;;115;85;;;;;
phev;obere Mittelklasse ;E 300 e 9G-Tronics; 64.243 ;;1985;;;;super ;1,5;17;;;;;;;;;;;;;;;;;;;;;;;;51;;13,5;;155;90;;;;;
phev;Oberklasse ;Porsche panamera ; 9.612 ;;2285;;;;super plus ;2,3;23,6;;;;;;;;;;;;;;;;;;;;;;;;54;;17,9;14,3;243;100;;;;;
phev;SUV;Renault capture; 266.489 ;;1616;103;;;super;1,5;17,3;;;;;;;;;;;;;;;;;;;;;;;;54;65;9,8;;68;49;25;;;;
phev;Gel‰ndewagen ;volvo XC40; 171.004 ;;1812;;;;super;2,1;15,2;;;;;;;;;;;;;;;;;;;;;;;;45;55;10,7;;132;60;;;;;
phev;Sportwagen ;; 2.136 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phev;Mini Van ;Peogeot 3008 ; 18.545 ;;1908;;;;super;1,3;15,3;;;;;;;;;;;;;;;;;;;;;;;;63;74;14,2;12,9;147;81;83;;;;
phev;Groﬂraum Vans;; 2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phev;Utilities ;VW Multivan; 4.201 ;;2257;;;;super;1,8;17,3;;;;;;;;;;;;;;;;;;;;;;;;50;;13;10,4;110;85;;;;;
phev;Wohnwagen ;; 5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bev;Mini ;fiat 500e; 198.687 ;; 1.330 ;182; 1.148 ;;battery;;13;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;190;257;23,8;21,3;;70;;50;27;;
bev;Kleinwagen ;renault zoe ; 218.839 ;; 1.577 ;326; 1.251 ;;battery;;17,2;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;316;;44,1;41;;80;;50;27;;
bev;Kompaktklasse ;VW ID.3; 138.244 ;; 1.815 ;364; 1.451 ;;battery;;15,2;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;429;587;62;58;;150;;50;27;;
bev;Mittelklasse ;Model 3; 87.845 ;; 1.825 ;;;;battery;;14,4;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;491;;;62;;208;;50;27;;
bev;obere Mittelklasse ;i4; 3.194 ;; 2.125 ;550; 1.575 ;;battery;;16,3;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;584;;83,9;81,1;;250;;50;27;;
bev;Oberklasse ;Taycan ; 24.071 ;; 2.125 ;;;;battery;;20,3;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;432;451;79,2;71;;300;;50;27;;
bev;SUV;Model Y; 281.894 ;; 1.984 ;;;;battery;;15,7;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;455;;;62;;220;;50;27;;
bev;Gel‰ndewagen ;Q8; 33.650 ;; 2.585 ;;;;battery;;20,3;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;488;;95;89;;;;50;27;;
bev;Sportwagen ;; 35 ;;;;;;battery;;;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;;;;;;;;50;27;;
bev;Mini Van ;Kia e-Soul; 6.382 ;; 1.610 ;315; 1.295 ;;battery;;15,6;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;276;407;42;39,2;;100;;50;27;;
bev;Groﬂraum Vans;; 3.443 ;;;;;;battery;;;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;;;;;;;;50;27;;
bev;Utilities ;e-Sprinter ; 9.905 ;; 2.455 ;;;;battery;;33,9;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;120;;41;35;;85;;50;27;;
bev;Wohnwagen ;; 63 ;;;;;;battery;;;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;;;;;;;;50;27;;
lkw ;Mittelschwerer Lkw im Verteilverkehr ICE Diesel;;;;12800;;;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lkw ;Schwerer LKW im Transitverkehr ICE Diesel ;;;;14700;;;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lkw ;Mittelschwerer LKW im urbanen Verteilerverkehr BEV-EE ONC;;;;11300;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;350;;;270;;
lkw ;Mittelschwerer LKW im urbanen Verteilerverkehr BEV-AT ONC;;;;11300;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;350;;;270;;
lkw ;Schwerer LKW im Transitverkehr BEV-AT-OL;;;;13200;;;;;;155;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;450;;;350;;
lkw ;Schwerer LKW im Transitverkehr BEV-EE-OL;;;;13200;;;;;;155;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;450;;;350;;
2035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
