unit;;;01.01.2023;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];[kg CO2e];;;;;
Quelle;;;FZ27.11,KBA;aus Baseline 22;aus Studie ;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;;;;;
description;;;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;referenzpfad 2030 * 0,68;referenzpfad 2030 * 0,68;;;;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;path_emissiont_2030;path_emission_2045;emission_target_de_30;emission_target_de_40;emission_target_de_45;;
HEV;obereMittelklasse;A6;150573;0,355592134;423443;1972;1897;6;1891;43,875;1847,125;12545;diesel;7,4;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2302,2584;346657954,1
HEV;Oberklasse;A8 ;23436;0,022130165;1059007;2238;2163;6;2157;48,6;2108,4;12545;gasoline;9,5;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2707,188419;63445667,79
HEV;SUV;x1;301941;0,285117096;1059007;1698;1623;6;1617;34,425;1582,575;12545;gasoline;6,1;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1738,299932;524864019,8
HEV;Gel‰ndewagen;nissan x-trail;190283;0,44937099;423443;2005;1930;6;1924;39,15;1884,85;12545;diesel;7,1;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2208,9236;420320609,4
HEV;Sportwagen;mercedes sl;10419;0,009838462;1059007;1683;1608;6;1602;43,2;1558,8;12545;gasoline;8,4;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2393,724497;24940215,53
HEV;MiniVan;B-Klasse;1001;0,002363955;423443;1651;1576;6;1570;33,75;1536,25;12545;diesel;5,6;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1742,2496;1743991,85
HEV;GroﬂraumVans;peugeot 5008;11027;0,010412585;1059007;1847;1772;6;1766;39,15;1726,85;12545;gasoline;4,5;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;1282,352409;14140500,01
HEV;Utilities;ford transit ;8598;0,020304976;423443;2062;1987;6;1981;54;1927;12545;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2177,812;18724827,58
HEV;Wohnwagen;land rover defender ;46;0,000108633;423443;2966;2891;6;2885;50,625;2834,375;12545;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;57800000000;20400000000;0;2333,37;107335,02
PHEV;Mini;not available ;0,00;0;1350000,00;0;0;0;0;0;0;12545;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
